List_Number,Name,Category,Type,MW,Density,Temperature,Refractive_Index,Melting_Point,Pressure,Boiling_Point,Dielectric_Constant
24,Isopropylamine,amine,None,59.11,0.6821,25,1.3711,-95.2,0,32.4,5.45
25,N-propyl amine,amine,None,59.11,0.7173,20,1.3882,-83,0,48.5,5.31
26,Acetic acid,acid,None,60.05,1.0492,20,1.3719,16.7,0,117.9,6.15
27,Methyl formate,ester,None,60.05,0.9742,20,1.3433,-99,0,31.5,8.5
28,Ethylene diamine,amine,None,60.1,0.8859,30,1.4513,11.3,0,117.3,12.9
29,Propan-1-ol,alcohol,None,60.1,0.8038,20,1.3856,-126.2,0,97.2,20.33
30,Propan-1-ol,alcohol,None,60.1,0.7998,25,1.3837,-126.2,0,97.2,20.33
31,Propan-2-ol,alcohol,None,60.1,0.7854,20,1.3772,-88,0,82.3,19.92
32,Nitromethane,alkane,None,61.04,1.1312,25,1.3796,-28.5,0,101.2,35.87
33,2-aminoethanol,alcohol,None,61.08,1.0116,25,1.4521,10.5,0,170,37.72
34,"1,2-ethanediol",alcohol,None,62.07,1.1135,20,1.4318,-13.2,0,197.3,37.7
35,Ethanethiol,alcohol,None,62.13,0.8391,20,1.4311,-144.4,760,35,0
36,Methyl sulfide,other,None,63.13,0.8423,25,1.4323,-98.3,0,37.3,6.2
37,Chloroethane,alkane,None,64.52,0.9039,20,1.379,-136.4,0,12.3,9.45
38,3-butenenitrile,nitrile,None,67.09,0.8329,20,1.406,-84,760,119,0
39,Trans-crotononitrile,nitrile,None,67.09,0.8239,20,1.4225,-51.5,760,120.5,0
40,Methacrylonitrile,nitrile,None,67.09,0.8001,20,1.4007,-35.8,0,90.3,0
41,Pyrrole,other,None,67.09,0.9699,21,1.5002,-23.4,0,129.8,8.13
42,Furan,other,None,68.08,0.9378,20,1.4214,0,0,31.4,2.94
43,"1,3-pentadiene",alkene,None,68.11,0.683,0,1.428,0,0,41.8,0
44,Isoprene,alkene,None,68.13,0.681,20,1.4219,-146,760,34,2.1
45,"1,2-pentadiene",alkene,None,68.13,0.6926,20,1.4209,-137.3,760,44.9,0
46,"1,4-pentadiene",alkene,None,68.13,0.6608,20,1.3888,-148.3,760,0,0
47,"2,3-pentadiene",alkene,None,68.13,0.695,20,1.4284,-125.7,760,48.3,0
48,Butyronitrile,nitrile,None,69.11,0.7954,15,1.386,-111.9,0,117.9,20.3
49,Butyronitrile,nitrile,None,69.11,0.7865,25,1.382,-111.9,0,117.9,20.3
50,Isobutyronitrile,nitrile,None,69.11,0.7656,25,1.3712,-71.5,0,103.9,20.4
51,Propenoic acid,acid,None,70.05,1.138,20,1.4306,18,0,144,0
52,Crotonaldehyde,aldehyde,None,70.09,0.8516,20,1.4373,-76.5,0,104.1,0
53,Cyclopentane,alkane,None,70.13,0.7454,0,1.4065,-93.8,0,49.3,1.96
54,1-pentene,alkene,None,70.13,0.6405,20,1.3715,-165.2,0,30,2.02
55,2-pentene,alkene,None,70.13,0.6545,20,1.3798,-138,0,36.7,0
56,Cis-2-pentene,alkene,None,70.13,0.6556,20,1.383,-151.4,0,36.9,0
57,Trans-2-pentene,alkene,None,70.13,0.6482,20,1.3793,-140.2,0,36.4,0
58,2-methyl-1-butene,alkene,None,70.14,0.6504,20,1.3378,-137.6,760,31.2,2.2
59,2-methyl-2-butene,alkene,None,70.14,0.6623,20,1.3874,-133.8,760,38.6,0
60,2-cyanoethanol,alcohol,None,71.08,1.0404,25,0,-46,0,220,0
61,3-hydroxy propionitrile,nitrile,None,71.08,1.0588,20,1.424,0,760,230,0
62,Lactonitrile,nitrile,None,71.08,0.9877,20,1.4058,-40,0,183,0
63,Pyrrolidine,other,None,71.12,0.852,22,1.427,0,0,88.7,0
64,Acrylic acid,acid,None,72.06,1.0511,20,1.4224,13.5,0,141.2,0
65,Propiolactone,ketone,None,72.06,1.146,20,1.4131,-33.4,0,155,0
66,Allyl methyl ether,ether,None,72.11,0.761,25,1.3786,0,0,41.5,0
67,2-butanone,ketone,None,72.11,0.8049,20,1.3788,-86.7,0,79.6,18.51
68,2-butanone,ketone,None,72.11,0.7997,25,1.3764,-86.7,0,79.6,18.52
69,2-buteneol-1 (cis),other,None,72.11,0.854,20,1.4342,-89.4,760,123.6,0
70,"1,2-butylene oxide",ether,None,72.11,0.8297,20,1.384,-150,0,63.2,0
71,Butyraldehyde,aldehyde,None,72.11,0.8016,20,1.3791,-96.4,0,74.8,13.4
72,Iso-butyraldehyde,aldehyde,None,72.11,0.7891,20,1.3727,-65,0,64.1,0
73,Ethyl vinyl ether,ether,None,72.11,0.7531,20,1.3754,-115.8,0,35.7,0
74,Methallyl alcohol,alcohol,None,72.11,0.8574,19,1.4255,0,0,114.5,0
75,Tetrahyorofuran,other,None,72.11,0.8892,20,1.405,-108.5,0,66,7.58
76,Tetrahydrofuran,other,None,72.11,0.8811,25,1.405,-108.5,0,66,7.58
77,"1,2-epoxy-2-methyl propane",alkane,None,72.12,0.865,0,1.3712,0,760,52,0
78,"2,2,-dimethyl propane",alkane,None,72.15,0.6135,20,1.3476,-20,0,9.5,0
79,2-methyl butane,alkane,None,72.15,0.6197,0,1.3537,-159.9,0,27.9,1.84
80,Pentane,alkane,linear,72.15,0.6262,20,1.3579,-129.7,0,36.1,0
81,"N,n-dimethylformamide",amide,None,73.1,0.944,25,1.4282,-60.4,760,153,36.71
82,Methyl isothiocyanate,ester,None,73.12,1.0691,37,1.5258,36,758,119,0
83,Methyl thiocyanate,ester,None,73.12,1.0678,25,1.4669,-5.1,757,132.9,0
84,Sec-butyl amine (d),other,None,73.14,0.724,20,1.344,-104.5,0,63,0
85,Sec-butyl amine (dl),other,None,73.14,0.7271,17,1.395,-72,772,67,0
86,N-Butylamine,amine,None,73.14,0.7346,25,1.3987,-49.1,0,77.4,4.88
87,Sec-Butylamine,amine,None,73.14,0.724,20,1.3934,0,0,62.5,0
88,Diethyl Amine,amine,None,73.14,0.707,20,1.3854,-49.8,0,55.5,3.58
89,Isobutyl Amine,amine,None,73.14,0.7346,20,1.3972,-84.6,0,67.7,4.43
90,Tert-Butylamine,amine,None,73.14,0.6908,25,1.3761,-72.7,0,44.4,0
91,Dioxolane,other,None,74.08,1.06,20,1.3974,-95,765,78,0
92,Ethyl Formate,ester,None,74.08,0.9289,15,1.3625,-79.4,0,54.1,7.16
93,Hydroxy Acetone,ketone,None,74.08,1.0824,20,1.4295,-17,0,145.5,0
94,3-Hydroxypropyleneoxide,ether,None,74.08,1.111,22,1.435,0,0,166.5,0
95,Methyl Acetate,ester,None,74.08,0.9442,20,1.3614,-98.1,0,56.3,6.68
96,Propanoic Acid,acid,None,74.08,0.988,25,1.3843,-20.7,0,140.8,3.44
97,1-Butanol,alcohol,None,74.12,0.8097,20,1.3993,-88.6,0,117.7,17.51
98,1-Butanol,alcohol,None,74.12,0.806,25,1.3973,-88.6,0,117.7,17.51
99,2-Butanol,alcohol,None,74.12,0.8026,25,1.395,-114.7,0,99.6,16.56
100,Diethyl Ether,ether,None,74.12,0.7138,20,1.3526,-116.2,760,34.5,4.34
101,Diethyl Ether,ether,None,74.12,0.7076,25,1.3495,-116.3,0,34.5,4.34
102,2-Methyl-1-Propanol,alcohol,None,74.12,0.7978,25,1.3939,-108,0,107.7,17.93
103,2-Methyl-2-Propanol,alcohol,None,74.12,0.7808,25,1.3878,25.5,0,82.2,1.77
104,Methyl Propyl Ether,ether,None,74.12,0.738,20,1.3579,0,760,38.9,0
105,Tert Butyl Alcohol,alcohol,None,74.12,0.7887,20,1.3878,25.5,0,82.2,1.77
106,"1,2-Propanediamine",amine,None,74.13,1.8584,25,1.4492,0,760,120.5,0
107,Nitroethane,alkane,None,75.07,1.0446,25,1.3897,-89.5,0,114.1,28.06
108,1-Amino-2-Propanol,alcohol,None,75.11,0.973,18,1.45,-1,750,160,0
109,3-Amino-2-Propanol,alcohol,None,75.11,0.9824,26,1.457,11,756,187,0
110,2-Methoxyethanol,alcohol,None,76.1,0.9602,25,1.4002,-85.1,0,124.6,16.93
111,Methylal,other,None,76.1,0.8665,15,1.3563,-105.2,0,42.3,2.65
112,"1,2-Propanediol",alcohol,None,76.1,1.0362,20,1.4329,-60,0,187.6,32
113,"1,3-Propanediol",alcohol,None,76.1,1.0538,20,1.4396,-26.7,0,214.4,35
114,Carbon Disulfide,other,None,76.14,1.27,15,1.6319,-111.6,0,46.2,2.64
115,1-Propane Thiol,alcohol,None,76.17,0.8411,20,1.438,-113.3,760,67.5,0
116,2-Propane Thiol,alcohol,None,76.17,0.8143,20,1.4255,-130.5,760,52.6,0
117,3-Chloropropene,alkene,None,76.52,0.9442,15,1.4181,-134.5,0,45.1,8.2
118,Cis-Propenyl Chloride,other,None,76.53,0.9347,20,1.4055,-134.8,760,32.8,0
119,Trans-Propenyl Chloride,other,None,76.53,0.935,20,1.4054,-99,760,37.4,0
120,Benzene,aromatic,None,78.12,0.879,20,1.5011,5.5,0,80.1,2.28
121,Benzene,aromatic,None,78.12,0.8737,25,1.4979,5.5,0,80.1,2.28
